,Name,Rating,Reviews,Category,Location,Contact Number,Website,Description
239,Armstrong's Subaru Lower Hutt,4.3,145,Used car dealer,"Lower Hutt, New Zealand",+64 4 385 9508,https://www.armstrongs.co.nz/dealership/subaru-lower-hutt/?utm_source=GOOGLE&utm_medium=GBP&utm_id=AWLR-SU,"""Armstrong's Subaru Lower Hutt is your accredited Subaru dealer for the Wellington area, featuring an extensive selection of both brand-new and used Subaru cars, supported by an expert sales team. Our advanced service center is furnished with the latest in Subaru diagnostic technologies and staffed by technicians who have been trained by the manufacturer, guaranteeing the use of only genuine Subaru parts for all servicing and repairs. Benefit from our late model service loan vehicles and the option to enjoy espresso coffee while your service is being completed. Visit our Armstrong's Subaru Lower Hutt dealership today for all your Subaru needs."""
240,Onlineautoshb limited,4.6,34,Used car dealer,"Napier, New Zealand",+64 6 974 8161,http://www.onlineautoshb.co.nz/,"""Online vehicle sales with perfect feedback on trademe since 2008 which was when we were established. Vehicles sales and delivery nationwide.

Our vehicles undergo an AA mechanical inspection upon arrival and undergo an extensive presentation process by a very experienced vehicle presentation specialist.

Delivery is Via the Car distribution Group which has a handy tracking page so you can track your car at all times.

We have Motor Trade finance for your finance needs and Protecta Mechanical warranties available for piece of mind.

All our vehicles have a Six month or 7,000 kilometre piece of mind warranty,

Probably the most experienced online vehicle sales experts in the Hawkes Bay.

Our new Workshop is open for our customers/contacts"""
241,Autolink Electric Vehicles,4.4,64,Used car dealer,"Auckland, New Zealand",+64 800 378 9090,http://www.autolinkcars.co.nz/,"""Autolink EV are experts in electrical vehicles, specialising in them for over 10yrs. Open 7 days with a large range of high quality EVs in stock, onsite and ready to go! You can drive away stress free and start saving on money and emissions with your ideal EV! Specialising in the award winning Nissan Leaf, there's a Leaf to suit almost everyone. We have a new indoor premises at 12 Eden St, Newmarket Auckland where you can test drive an EV, chat to knowledgeable staff and discuss what we have available that may suit your needs. We have experienced staff onsite to answer all your questions. Customers are welcome to walk in without an appointment however if interested in a particular EV or Hybrid we recommend calling in advance."""
242,Gazley Volkswagen,4.2,24,Volkswagen dealer,"Wellington, New Zealand",+64 4 381 3000,https://www.gazleyvw.com/,"""Gazley Volkswagen is the award winning home of Volkswagen in the Lower North Island. With over 25 years in the Capital, Gazley Motor Group is a staunchly proud Wellington based business with a long history of quality customer service. Representing Volkswagen, SKODA, Mercedes-Benz, Mitsubishi, Chrysler, Jeep, Dodge, Fiat, Alfa Romeo, SEAT, MG & Ram in Wellington for Sales, Parts & Service."""
243,黑殿 Infinity Auto Imports,4.0,74,Motor vehicle dealer,"Auckland, New Zealand",+64 9 827 5854,http://www.infinityautoimports.co.nz/,N/A
244,"Motorworld Blenheim - Kia, Suzuki, Volkswagen & Isuzu",4.2,103,Used car dealer,"Blenheim, New Zealand",+64 3 578 5199,https://www.motorworld.co.nz/,N/A
245,Giltrap Porsche,4.8,76,Porsche dealer,"Auckland, New Zealand",+64 9 920 0911,http://www.giltrapporsche.co.nz/,"""Giltrap Porsche resides within our Giltrap Motor Group dealership, specializing in NZ new & used Porsche. We also house the countries leading Porsche Service workshop, with factory trained technicians & genuine Porsche parts. All Porsche through our doors have passed stringent pre-purchase inspections and receive a full factory service according to Porsche network standards. Additionally we have an on-site Business Manager six days a week to assist you in arranging tailored finance packages. Come see us today for any Porsche needs."""
246,Archibalds Audi,4.4,115,Used car dealer,"Christchurch, New Zealand",+64 3 377 5200,https://archibalds.co.nz/audi/,"""Welcome to the home of Audi. Located in Christchurch, we're your official Audi dealer for sales, service, parts, accessories, and finance in Canterbury, Tasman, Marlborough, and the West Coast.

We're also the home of Audi Sport and Audi e-tron, offering performance cars from V8s to full electric.

Our in-house finance team are on hand to provide a range of competitive finance options as well as vehicle insurance, warranties, service plans, and more.

Archibalds is an award winning New Zealand owned business, providing world-class service for the last 100 years and counting.

We look forward to welcoming you to the Audi family, or helping you to care for your existing Audi vehicle."""
247,TRC Toyota Whanganui,4.5,145,Used car dealer,"Whanganui, New Zealand",+64 6 348 8850,https://www.toyota.co.nz/manawatu-trc-toyota/,"""We are proud to provide you with excellent service designed to satisfy all your vehicle requirements. We are your one-stop shop for all things related to your vehicle. Whether your car needs a tune up, or you are looking for a replacement car we can help.

We offer New Toyota and Used vehicles, and with our on-site Parts and Service Centre, you don't have to go far to get what you want.

Our aim is to meet and exceed the needs and requirements of every customer.

Visit our customer centre and see for yourself."""
248,Sun City Motors,3.8,12,Car dealer,"Appleby, New Zealand",+64 3 544 8869,https://www.suncitymotors.co.nz/,N/A
249,Adopt A Car Limited,4.0,35,Used car dealer,"Palmerston North, New Zealand",+64 27 288 7933,http://www.adoptacar.co.nz/,N/A
250,Lexus of Wellington,4.3,18,Lexus dealer,"Wellington, New Zealand",+64 4 802 0610,https://www.lexus.co.nz/en/dealers/wellington/about.html,N/A
251,Dayman's,4.4,26,Used car dealer,"Nelson, New Zealand",+64 3 546 9232,http://www.daymans.co.nz/,N/A
252,AutoNation,4.4,34,Car dealer,"Auckland, New Zealand",+64 22 590 2644,http://www.autonationnz.co.nz/,"""Welcome to AutoNation, We are a licensed motor vehicle trader (RMVT: M405254 )
AutoNation is all about delivering quality used vehicles to each valued customer and giving customers a lifetime happy motoring experience.
We pride ourselves on offering quality used motor cars that have be

We offer NO DEPOSIT FINANCE AND VERY COMPETITIVE RATES, We can also help customers with Overseas Licenses, Student visas, Work Permits AND Bad Credit.

* Trade-ins welcome and fairly appraised *
* Mechanical warranties that added peace of mind provide coverage over 12, 24 or 36months *
* Finance GAP Insurance. (Protect Your Asset)*
* Payment Protection Insurance (Protect Your Loved ones)*
* Insurance Ts& Cs applied. Insurance Legislation applies*"""
253,LDV New Zealand,4.3,7,Motor vehicle dealer,"Taupō, New Zealand",+64 7 376 1516,http://www.ldv.co.nz/,N/A
254,Brent Wiley Wholesale Cars,4.4,8,Car dealer,"Whakatāne, New Zealand",+64 7 307 8533,http://www.brentwileywholesalecars.co.nz/,N/A
255,MS Ford,4.5,80,Used car dealer,"Nelson, New Zealand",+64 3 548 9189,https://www.msford.co.nz/,"""At MS Ford, we have over 80 years of experience in the automotive industry and are proud to be based in Nelson. Since our inception, we have been dedicated to meeting the vehicle needs of our customers, whether they are looking for their first car, a family vehicle, or a commercial vehicle for their business.

We offer a wide range of new, demo, and used cars, SUVs, and light commercial vehicles to match your lifestyle. As trusted Ford dealers, our core principle of personalised, professional customer service is what sets us apart from our competitors."""
256,Capital City Ford,4.5,202,Used car dealer,"Lower Hutt, New Zealand",+64 4 802 8750,https://www.capitalcityford.co.nz/,"""We are a multi-award winning business that has been helping Wellington motorists find the perfect vehicle since 1923. Above all, providing our customers with an exceptional experience is what drives us to succeed and our team of over 120 staff across five locations means we are accessible and well equipped to support your vehicle needs - right throughout the region"""
257,Armstrong's Opel Christchurch,4.7,12,Used car dealer,"Christchurch, New Zealand",+64 3 367 2980,https://www.armstrongs.co.nz/dealership/armstrongs-opel-christchurch-2/?utm_source=GOOGLE&utm_medium=GBP&utm_id=RAM-OP,"""Armstrong's Opel Christchurch is your trusted dealership for the greater Canterbury region. Located in Central Christchurch, we offer an extensive range of premium new and used Opel cars, perfect for navigating the busy city streets or the scenic countryside. Our Opel dealership is committed to providing exceptional servicing and repairs with our factory-trained technicians who use only genuine Opel parts."""
258,13Autos.co.nz,3.7,3,Used car dealer,"Hamilton, New Zealand",+64 27 215 0714,http://www.13autos.co.nz/,N/A
259,Brendan Foot Supersite Wellington,4.4,89,Car repair and maintenance service,"Wellington, New Zealand",+64 4 384 9908,http://www.brendanfoot.co.nz/,N/A
260,GM car wholesalers Ltd,3.9,17,Car dealer,"Auckland, New Zealand",+64 9 276 2222,http://www.gmcars.co.nz/,"""GM Car Ltd Limited was started in August 2000 as a Motor Vehicle Importing firm. GM CAR LIMITED provide its services to all the motor vehicle dealers in the greater Auckland area.
GM Car Ltd was setup to service clientele with adverse credit and clients outside the normal lending criteria.
We are devoted to help find the dream car at an unbeatable price. Maintaining a direct stock of over 200 cars directly imported from Japan, we ensure that our client always get the best deal. To ensure the best Customer service, we ensure accurate Stock update for GM Car Ltd. The head office is setup at 520 Great South Road, Otahuhu. Please Come in and visit our friendly Staff at the HeadOffice and get the best possible deal for your car."""
261,Value Priced Cars LMVD,4.8,5,Used car dealer,"Palmerston North, New Zealand",+64 6 358 0922,https://www.valuepricedcars.co.nz/,N/A
262,Tesla Wellington,4.9,15,Tesla showroom,"Wellington, New Zealand",+64 9 801 0039,http://tesla.com/,N/A
263,Armstrong's Citroen Lower Hutt,4.3,9,Used car dealer,"Lower Hutt, New Zealand",+64 4 566 8668,https://www.armstrongs.co.nz/dealership/citroen-lower-hutt/,"""Armstrong's Citroen Lower Hutt is your trusted dealership for the greater Wellington & Lower North Island region. Located in Hutt Central, we offer a full range of new & used Citroen cars and a team of expert sales specialists. Our service department boasts the latest Citroen & European vehicle diagnostic equipment, factory-trained technicians who use only genuine parts for all servicing and repairs, late-model service loan vehicles – and espresso coffee while you wait. Browse new, demo and used C3, C4, eC4 & C5 Aircross vehicles at Armstrong's Citroen Lower Hutt today."""
264,Mr Motors Group New Lynn Branch,4.2,137,Car dealer,"Auckland, New Zealand",+64 21 895 734,https://www.mrmotors.co.nz/,N/A
265,Courtesy Ford Palmerston North,4.5,252,Ford dealer,"Palmerston North, New Zealand",+64 6 356 8089,https://www.courtesyfordmanawatu.co.nz/,N/A
266,Direct Car Imports Ltd,2.1,35,Used car dealer,"Auckland, New Zealand",+64 21 749 886,http://directcarimports.co.nz/,N/A
267,Hawkes Bay Toyota - Hastings,4.1,105,Used car dealer,"Hastings, New Zealand",+64 6 873 0908,http://www.hbtoyota.co.nz/,N/A
268,Levin Kia,4.7,20,Motor vehicle dealer,"Levin, New Zealand",+64 6 367 2204,https://kia.co.nz/find-a-dealer/dealer/levin-kia/,"""Daniel and Kelly Gordon are a husband and wife team, both very passionate about cars and people, with a long history in the motor industry. With six children between them they understand the importance of family and work life balance for their team. Their passion is customer care and building a business that is future proof for their children and staff alike. They are hands-on owners, working in the business, enjoying the direct contact with customers and supporting staff to ensure the company meets customer expectations."""
269,Ajax Cars Limited,3.4,23,Car dealer,"Auckland, New Zealand",+64 27 585 1664,N/A,"""We endeavor to get you into a vehicle of your Satisfaction, we are have all kind of 2nd hand vehicle, highly recommend viewing, inspection of our vehicles before others, we offer no Deposit Finance and good customer relations, we treat you with honesty and respect, and welcome to Ajax Cars Limited for all your vehicle needs."""
270,NZ Vehicle Imports Wellington,3.7,6,Auto broker,"Wellington, New Zealand",+64 274 610 651,N/A,N/A
271,TRC Toyota Masterton,4.4,40,Toyota dealer,"Masterton, New Zealand",+64 6 370 0688,https://www.toyota.co.nz/manawatu-trc-toyota/,"""TRC Toyota Masterton is your one stop for all your automotive needs – from new and used vehicles, finance, to our full mechanical workshop and access to genuine Toyota Parts and accessories.

Our team's commitment to excellence and exceptional customer service was highlighted recently - Manawatu and TRC Toyota won the prestigious President’s Trophy in 2020.

Click on the 'Appointments' link to book your vehicle with our Service Department."""
272,Gazley Mercedes-Benz Wellington,4.4,112,Mercedes,"Wellington, New Zealand",+64 4 385 2244,https://www.mbwellington.co.nz/,N/A
273,HMC Kapiti Limited,4.3,54,Car dealer,"Paraparaumu, New Zealand",+64 4 298 8089,http://www.hmckapiti.co.nz/,"""HMC Kapiti is a family owned and operated company established in 2009 on the Kapiti Coast. In 2021 we
opened a second branch, Levin Kia, in the Horowhenua. Both dealerships service all makes and models,
however Levin Kia only sells new Kia models, with HMC Kapiti carrying new Suzuki & Kia, as well as a
large range of used cars. HMC Kapiti is also an AA Auto Centre."""
274,Cars Connect,3.6,20,Car dealer,"Auckland, New Zealand",+64 21 229 7721,http://www.carsconnect.co.nz/,N/A
275,InterCarNet Ltd,4.9,8,Used car dealer,"Auckland, New Zealand",+64 21 778 533,https://www.intercarnet.co.nz/,N/A
276,Auckland Car Clearance,4.0,4,Used car dealer,"Auckland, New Zealand",+64 9 266 7239,N/A,N/A
277,Capital City Mazda,4.7,254,Used car dealer,"Lower Hutt, New Zealand",+64 4 802 8750,http://www.capitalcitymazda.co.nz/,"""We are one of New Zealand's largest Mazda dealerships and we've been serving the Wellington region since 1923. We're proud of our long history and the strong links that we have developed in the community over the past 100 years. Above all, providing our customers with an exceptional experience is what drives us to succeed. We have a team of over 120 people spread across six locations meaning we are accessible and well equipped to support your automotive needs - right throughout the greater Wellington region. We look forward to seeing you soon!"""
278,City Cheap Cars,4.5,2,Car dealer,New Zealand,+64 22 310 5906,http://citycheapcars.co.nz/,"""City Cheap Cars mainly sells Japanese and European cars imported directly from Japan. We have hybrid, petrol, plug-in hybrid, electric and diesel cars. The models include hatchback, sedan, SUV and 7 seaters. We will give customers the best price while absolutely guaranteeing the condition of the car and the quality of service. We can also apply 0 deposit finance for you, easy, fast and low interest rates."""
279,GO CARS NZ Ltd,3.8,5,Car dealer,"Whangārei, New Zealand",+64 800 900 785,http://www.gocarsnz.co.nz/,N/A
280,Isuzu Utes New Zealand Ltd - Head Office,3.5,11,Used car dealer,"Auckland, New Zealand",+64 800 478 986,http://www.isuzuutes.co.nz/,"""When the going gets tough - generations have trusted the power and reliability of an Isuzu Ute to get the job done. With over 50 years of truck-making excellence and over 25 million diesel engines built, Isuzu sets the standard when it comes to strength, technology and performance. The impressive Isuzu D-MAX ute comes in Double, Space or Single cab options, or you can choose the awesome 7-seater MU-X SUV - all available from our national network of dealers."""
281,"Cars for Sale, Cars for Sale in New Zealand / Car Dealer",N/A,N/A,No reviews,"Katikati, New Zealand",+64 800 730 333,N/A,N/A
282,Tesla Sales Showroom,5.0,4,Car dealer,"Wellington, New Zealand",+64 800 005 431,https://www.tesla.com/en_NZ/findus/location/service/wellingtonngauranga,N/A
283,Regent Motors,4.6,9,Used car dealer,"Palmerston North, New Zealand",+64 6 356 9599,http://www.regentmotors.co.nz/,N/A
284,Wholesale Cars & Hiace Vans,3.7,3,Used car dealer,"Christchurch, New Zealand",+64 3 381 8911,N/A,N/A
285,Brendan Foot Supersite,4.3,483,Used car dealer,"Lower Hutt, New Zealand",+64 4 587 0005,https://brendanfoot.co.nz/,N/A
286,Volvo Cars Wellington,4.8,4,Used car dealer,"Wellington, New Zealand",+64 4 384 8779,https://www.armstrongs.co.nz/dealership/volvo-wellington/?utm_source=GOOGLE&utm_medium=GBP&utm_id=APW-VOL,"""Forming part of Armstrong's Wellington, explore Volvo Cars Wellington, your certified Volvo dealer for greater Wellington and Lower North Island regions, offering an extensive inventory of both brand-new and used Volvo cars, supported by a team of knowledgeable sales professionals. Our advanced service center is outfitted with the latest Volvo diagnostic tools and staffed by factory-certified technicians who guarantee the use of genuine Volvo parts for all servicing and repairs. Benefit from our modern service loan vehicles and enjoy a cup of espresso while we take care of your vehicle. Visit our Volvo Cars Wellington dealership today for all your Volvo needs."""
287,Toyota New Zealand,N/A,N/A,No reviews,"Auckland, New Zealand",N/A,N/A,N/A
288,Armstrong's Jaguar Wellington,3.3,13,Jaguar dealer,"Wellington, New Zealand",+64 4 384 8779,https://www.armstrongs.co.nz/dealership/jaguar-wellington/?utm_source=GOOGLE&utm_medium=GBP&utm_id=APW-JAG,"""Armstrong's Jaguar Wellington is the premier destination for Jaguar vehicles, for greater Wellington and the lower North Island. Being an official Jaguar dealership, we offer an unparalleled selection of new and used Jaguar cars backed by an expert team. We also offer professional servicing & repair by certified technicians and genuine Jaguar parts."""
289,Gazley MG,3.3,10,Car dealer,"Wellington, New Zealand",+64 4 381 3000,http://www.gazleymg.com/,"""Gazley MG is the home of MG in the Lower North Island. With over 25 years in the Capital, Gazley Motor Group is a staunchly proud Wellington based business with a long history of quality customer service. Representing Volkswagen, SKODA, Mercedes-Benz, Mitsubishi, Chrysler, Jeep, Dodge, Fiat, Alfa Romeo, MG, Suzuki, CUPRA, & Ram in Wellington for Sales, Parts & Service."""
290,Lifestyle Autos,N/A,N/A,No reviews,"New Plymouth, New Zealand",N/A,https://www.japanesecartrade.com/lifestyle/,N/A
291,MIG Cars EV/Hybrid,3.9,15,Used car dealer,"Christchurch, New Zealand",+64 3 365 0959,http://www.migcars.co.nz/,"""We are licensed EV/Hybrid cars specialist dealer in Christchurch, MTA members
We can provide competitive interest rates through MTF, FINANCE NOW and other finance facilities.
All of our cars are AA Appraisal vehicle, Odometer verified. VINZ Compliance."""
292,Greenstone Imports NZ LTD,3.4,5,Used car dealer,"Tauranga, New Zealand",+64 7 579 9340,http://www.greenstoneimports.co.nz/,N/A
293,Used Car Guys,2.4,11,Used car dealer,"Christchurch, New Zealand",+64 800 735 569,http://www.usedcarguys.co.nz/,N/A
294,Ebbett Taupo Nissan,3.9,11,Nissan dealer,"Taupō, New Zealand",+64 7 378 4130,https://ebbettnissantaupo.co.nz/,N/A
295,Armstrong's Certified Pre-Owned Tuam Street,5.0,1,Used car dealer,"Christchurch, New Zealand",+64 3 367 2980,https://www.armstrongs.co.nz/dealership/certified-pre-owned-tuam-street?utm_source=GOOGLE&utm_medium=GBP&utm_id=APC-CJD-TUAM,"""Armstrong's Certified Pre-Owned Tuam Street is your local pre-owned dealer for the greater Canterbury region. Located in Christchurch Central City, we offer an extensive range of near new and certified pre-owned cars perfect for navigating the busy city streets or the scenic countryside. Our dealership is committed to providing exceptional servicing and repairs with our factory-trained technicians who only use genuine parts."""
296,Armstrong's Porsche Wellington,3.5,20,Used car dealer,"Wellington, New Zealand",+64 4 384 8779,https://www.armstrongs.co.nz/dealership/porsche-wellington/?utm_source=GOOGLE&utm_medium=GBP&utm_id=APW-PORSCHE,"""Forming part of Armstrong's Wellington, Armstrong's Porsche Wellington is your one-stop-stop for everything Porsche.

Armstrong's Porsche Wellington is your trusted Porsche dealer for the greater Wellington and lower North Island region. Located in Te Aro, we offer an extensive portfolio of both brand-new and pre-owned Porsche models, along with a dedicated team of sales experts. Our service center is equipped with cutting-edge Porsche diagnostic tools and staffed by factory-trained technicians, ensuring the use of only genuine Porsche parts for all servicing and repairs. Benefit from our contemporary service loan cars and enjoy espresso coffee while you wait. Visit our Armstrong's Porsche Wellington dealership today."""
297,Ingham Prestige - Mercedes Benz,4.2,117,Mercedes,"Hamilton, New Zealand",+64 800 464 426,http://www.mbinghamprestige.co.nz/,"""Ingham Prestige is your premier destination for new and used Mercedes-Benz vehicles. Our dedicated team provides unparalleled service, guiding you through every step of your journey, from selecting the perfect vehicle to ensuring it remains in pristine condition through our expert servicing and support. Immerse yourself in the world of Mercedes-Benz luxury and high-performance at Ingham Prestige."""
298,Motor Nation,5.0,2,Used car dealer,"Christchurch, New Zealand",+64 22 640 8800,N/A,N/A
299,Ed's Campervans (By Appointment Only),4.8,18,Used car dealer,"Karaka, New Zealand",+64 210 245 2968,N/A,"""Ed's Campervans is a leading stockist of Self-Contained Campervans in Auckland. Owned and operated by Edgar Munro, he has sold vehicles to working holiday makers, students and other travellers to New Zealand for over 12 years.

Edgar stocks popular backpacking vehicles such as Toyota Hiace, Mitsubishi L300s, Nissan Caravans, Mazda MPVs, Honda Odysseys and Toyota Estimas.

He is able to customise your vehicle to suits you needs. This might mean an extra seat in the back, a roof mounted tent or roof racks for your surf board or skis.

Not all vehicles are certified as Fully Self Contained. He stocks vans with just a built in bed in the back. He also stocks a range of cars and station wagons."""
300,Turners Trucks & Machinery Auckland,4.3,56,Used truck dealer,"Auckland, New Zealand",+64 9 580 9386,https://www.turners.co.nz/Trucks-Machinery/?utm_source=map.google.com&utm_medium=referral,N/A
301,Gazley Škoda,3.6,7,Skoda dealer,"Wellington, New Zealand",+64 4 381 3000,https://www.gazleyskoda.com/,"""Gazley Skoda is the award winning home of Skoda in the Lower North Island. With over 25 years in the Capital, Gazley Motor Group is a staunchly proud Wellington based business with a long history of quality customer service. Representing SKODA, Volkswagen, Mercedes-Benz, Mitsubishi, Chrysler, Jeep, Dodge, Fiat, Alfa Romeo, SEAT, CUPRA, Suzuki, Roller Team Motorhomes & Ram in Wellington for Sales, Parts & Service."""
302,nz 4x4,3.4,5,Car dealer,"Auckland, New Zealand",+64 800 777 350,https://www.nz4x4s.nz/,N/A
303,Honda Service Centre Lower Hutt,4.6,90,Car repair and maintenance service,"Lower Hutt, New Zealand",+64 4 569 2145,http://www.honda.co.nz/agent/hutt-valley/,N/A
304,Armstrong's Opel Lower Hutt,5.0,4,Used car dealer,"Lower Hutt, New Zealand",+64 4 566 8668,https://www.armstrongs.co.nz/dealership/opel-lower-hutt/?utm_source=GOOGLE&utm_medium=GBP&utm_id=AWLN-OP,"""Armstrong's Opel Lower Hutt is your trusted dealership for Lower Hutt and the greater Wellington region. Located in Hutt Central, we offer an extensive range of premium new and used Opel cars, perfect for navigating the busy city streets or the scenic countryside. Our Opel dealership is committed to providing exceptional servicing and repairs with our factory-trained technicians who use only genuine Opel parts."""
305,Wellington MINI Garage,4.5,16,MINI dealer,"Wellington, New Zealand",+64 4 499 9030,https://wellingtonminigarage.co.nz/,"""Looking for a MINI in Wellington
Look no further than Wellington Mini Garage, the region's official dealership. They zoom ahead with new and used MINI sales, top-notch MINI service centre, and genuine parts and accessories to keep your MINI thrill alive.
Their award-winning team guarantees a first-class experience. They are located together with Continental Cars BMW in Kaiwharawhara, with ample onsite parking. So if you are looking for a new MINI Cooper, Countryman, or a Electric MINI, visit them today and discover the perfect MINI for you!"""
306,Drive Right Cars,1.0,1,Used car dealer,"Auckland, New Zealand",+64 9 217 3395,https://www.driverightcars.co.nz/,N/A
307,Scania New Zealand - Palmerston North,4.6,12,Truck dealer,"Palmerston North, New Zealand",+64 800 767 226,https://www.scania.com/nz/en/home.html,"""From its foundation in 1891, Scania’s culture of continuous innovation has made it one of the world’s leading manufacturers of heavy trucks and buses.

From January 1 2019, Scania New Zealand was created to import, distribute and sell heavy trucks and buses as well as parts and business services."""
308,Turners Trucks & Machinery Wellington,3.5,4,Used truck dealer,"Lower Hutt, New Zealand",+64 4 931 1799,https://www.turners.co.nz/Trucks-Machinery/?utm_source=map.google.com&utm_medium=referral,N/A
309,Scania New Zealand - Wellington,4.4,13,Truck dealer,"Lower Hutt, New Zealand",+64 800 957 2264,https://www.scania.com/nz/en/home.html,"""From its foundation in 1891, Scania’s culture of continuous innovation has made it one of the world’s leading manufacturers of heavy trucks and buses.

From January 1 2019, Scania New Zealand was created to import, distribute and sell heavy trucks and buses as well as parts and business services."""
310,Bayswater Volkswagen,N/A,N/A,No reviews,"Napier, New Zealand",+64 6 651 3171,https://www.bayswatervolkswagen.co.nz/,N/A
311,Easy Cars Nz,5.0,1,Motor vehicle dealer,"Auckland, New Zealand",+64 274 612 655,N/A,N/A
312,Autowest,5.0,1,Used car dealer,"Auckland, New Zealand",N/A,https://www.japanesecartrade.com/autowest/,N/A
313,Nino motors,3.9,9,Used car dealer,"Auckland, New Zealand",+64 9 820 2950,N/A,N/A
